Date,Close,High,Low,Open,Volume
02-04-2012,250.3426819,253.6485558,249.4558363,251.4753661,15557312
09-04-2012,210.9574127,251.0670273,209.7764313,249.1484658,109025440
16-04-2012,211.3833466,213.2272655,204.8550083,210.7335932,104964928
23-04-2012,209.9432831,210.5579226,193.0231407,209.8554774,127012640
30-04-2012,214.4170074,219.3385185,209.8862487,210.0311194,43195912
07-05-2012,202.9451904,215.0184665,201.2549318,211.5237976,50720120
14-05-2012,209.2276306,213.2798514,202.1416999,203.7265956,38520432
21-05-2012,208.3496094,209.7588727,202.5851566,209.4076501,27927776
28-05-2012,212.6835632,227.175818,210.3156779,213.1108575,46091424
04-06-2012,215.3586426,221.5587907,208.7489994,211.3305435,31793904
11-06-2012,224.554245,225.3954678,213.8408301,216.0484994,28041096
18-06-2012,220.2724152,226.4948381,215.9995157,225.6625042,33018032
25-06-2012,223.3658295,224.2382175,216.2754952,220.3124822,43934936
02-07-2012,217.6196747,224.2204279,217.2057462,222.8139273,28662744
09-07-2012,198.493927,222.7604147,197.4435019,215.5232108,112343648
16-07-2012,197.5103455,200.2921813,192.4852415,198.5118064,55883712
23-07-2012,191.2701263,196.9094728,187.0506463,195.8412478,39918680
30-07-2012,196.5978394,199.0458541,192.06234,192.2804315,22644968
06-08-2012,205.9048157,206.6125104,196.4999721,197.8174539,29322016
13-08-2012,209.2874756,209.6390952,203.7950247,204.8587941,20281648
20-08-2012,217.6330261,221.0335377,209.287519,209.287519,38802672
27-08-2012,210.2310486,218.2249339,209.6168281,216.3332861,36160288
03-09-2012,221.4118195,222.0126958,207.6094621,210.6182993,24367144
10-09-2012,234.3061523,235.427775,220.2857057,222.1906974,33740104
17-09-2012,230.8523102,235.8996686,226.730738,235.8106498,40962480
24-09-2012,225.6580353,232.4279143,224.8791214,231.4487083,49701792
01-10-2012,224.9369965,233.2468822,183.4275565,227.1135002,35446192
08-10-2012,213.2310028,229.6727563,205.722265,224.7544719,94762040
15-10-2012,212.1627655,214.713143,208.7577996,212.3719464,48909264
22-10-2012,208.698822,214.8264742,207.93286,212.1613,23987072
29-10-2012,213.9395905,215.4177543,206.7010625,207.928382,31042432
05-11-2012,210.4098663,216.2598152,210.0784037,213.4916266,27638312
12-11-2012,209.930603,213.841009,204.1478433,210.9742674,27085600
19-11-2012,212.9944611,214.9160697,207.1937876,209.9888568,25771288
26-11-2012,218.3068848,222.1724983,214.1769759,214.1769759,26921168
03-12-2012,207.9418182,219.7537004,207.0414995,218.3203293,44206136
10-12-2012,204.1479034,209.9888869,203.0012021,207.9239321,52049136
17-12-2012,205.7649536,207.9553199,201.1199256,203.0908113,44611280
24-12-2012,208.1255035,208.8153091,203.9552846,207.9373867,22762040
31-12-2012,210.4860992,210.9698533,206.3606731,207.3909087,29815056
07-01-2013,242.965332,243.8522215,206.8712484,210.6249015,131532600
14-01-2013,249.7694092,254.1501411,246.5622368,247.2386132,102021128
21-01-2013,252.1523132,253.3482908,247.5297055,247.5297055,38122384
28-01-2013,248.2374878,253.3125308,246.5398432,251.9149851,45105808
04-02-2013,249.8948822,252.3360931,245.9128013,249.1378872,38950640
11-02-2013,249.8186646,253.348332,245.6215662,250.9519148,30248328
18-02-2013,254.4726563,255.7671652,247.5252811,249.316995,27205632
25-02-2013,261.03479,266.0157413,256.8959355,257.1109324,49883688
04-03-2013,266.0918884,269.6350067,257.3035237,262.1277218,49364000
11-03-2013,257.8500061,267.8612067,254.6831433,267.1266085,36903464
18-03-2013,256.50177,259.3058068,253.3080486,256.7750108,44727976
25-03-2013,258.8444824,259.5253207,253.7649551,254.8892602,20800488
01-04-2013,256.7391663,268.716769,255.3192243,260.7615551,37371320
08-04-2013,205.7469788,262.9877764,203.2430629,255.3192321,136155048
15-04-2013,205.6618805,211.1534881,197.4468764,205.1512464,109235224
22-04-2013,198.163559,205.4200003,197.3124949,205.2945891,48163176
29-04-2013,206.7592926,208.1971473,195.8343219,197.6260357,36299776
06-05-2013,212.4569397,213.6618628,207.3908647,207.3908647,29357024
13-05-2013,210.6831818,212.5599979,207.2341321,210.9743353,31816088
20-05-2013,210.3382568,217.9620087,209.0930244,210.1680528,29453320
27-05-2013,216.0538788,218.1322631,207.5253225,209.7380855,37563584
03-06-2013,221.7433472,237.8928702,218.942995,228.8302846,64135992
10-06-2013,217.0444183,227.8787453,215.2364367,222.9396355,25912424
17-06-2013,219.2013092,222.9396261,212.3137435,218.539736,25806536
24-06-2013,226.4604797,227.2670412,212.5176798,217.7286677,41072760
01-07-2013,222.5951996,225.0738253,216.831409,223.7552148,24217912
08-07-2013,254.1331024,263.3225804,222.9849902,225.2053243,89469952
15-07-2013,258.0526428,259.6431314,242.9725061,252.3975971,55232360
22-07-2013,264.0203552,267.6181979,255.7462088,255.7643295,31872224
29-07-2013,272.6750793,273.6900845,263.7212404,263.7212404,43159416
05-08-2013,268.664917,274.1432462,266.4400475,271.7688529,30803592
12-08-2013,269.9200745,280.477988,268.9458464,269.7025812,39227512
19-08-2013,271.9409485,275.1808222,264.8177709,270.9803279,39612648
26-08-2013,281.4703369,283.6589426,272.6479006,273.6855622,61191640
02-09-2013,274.5103455,284.5562117,271.433601,278.8649237,43294752
09-09-2013,274.4196777,288.9152816,273.0829461,274.5103036,47237640
16-09-2013,271.4380188,277.1293269,270.0741174,274.1432094,45118800
23-09-2013,272.475708,276.4994872,271.0619358,272.3306978,45103416
30-09-2013,273.3638,276.8619666,271.6555161,273.7081827,36028928
07-10-2013,296.754364,302.5091058,272.4575633,273.2369545,103875336
14-10-2013,300.3840027,305.1418612,295.0778532,295.0778532,43910816
21-10-2013,303.735321,307.9427786,297.6771208,303.8675122,35645616
28-10-2013,298.7347107,306.7804087,298.0691698,302.4270707,30058176
04-11-2013,306.3336792,309.9713286,294.750605,298.7347025,24833720
11-11-2013,305.8049011,309.7935616,302.3222352,305.4174312,23286424
18-11-2013,305.1986694,314.3520676,302.0533254,309.1554122,30824784
25-11-2013,305.8321533,308.0430101,297.6679334,305.599667,32719544
02-12-2013,303.2111511,309.8847458,302.5182549,305.5997846,33017656
09-12-2013,307.5918274,309.0505375,302.7780796,306.7849695,41295344
16-12-2013,323.7743835,325.7481917,305.7638682,308.1525015,46031904
23-12-2013,324.6815186,325.6570265,315.4962035,319.0928311,30207808
30-12-2013,325.0325623,325.9305897,314.9218852,325.2650487,31384016
06-01-2014,323.7652283,326.4319324,311.6032431,325.9396267,70651392
13-01-2014,340.0390015,343.220804,326.5687253,326.5687253,84952016
20-01-2014,342.6282043,346.3524825,337.732413,338.4207463,43418096
27-01-2014,337.4269714,343.1523902,333.1009669,339.1500637,42863232
03-02-2014,325.1601563,336.5973505,322.8307741,335.9591648,26547576
10-02-2014,332.2485657,334.044598,324.3350593,326.3772444,25642216
17-02-2014,341.9490662,342.9792848,332.4948038,335.959241,39947296
24-02-2014,348.709259,349.8306248,340.0618333,341.5205435,29648784
03-03-2014,341.0007935,350.9975058,338.0833737,348.7228345,40384648
10-03-2014,309.442627,340.0345252,304.0545285,340.0345252,67455272
17-03-2014,301.3740234,311.0607691,295.2748014,309.4425128,47985512
24-03-2014,297.4492493,302.5410461,293.196184,298.324462,44913168
31-03-2014,302.3222656,305.9644784,294.4816979,299.5188068,32075480
07-04-2014,294.9466248,302.1763614,288.5511013,300.6766295,57703800
14-04-2014,291.0172119,308.8818467,286.9556118,294.9465987,42372600
21-04-2014,289.5175171,293.565429,286.4906756,292.6537351,30726144
28-04-2014,293.5380554,296.026984,288.5510947,288.9157722,23384272
05-05-2014,283.6689758,294.7506189,277.7429659,291.0126742,39700176
12-05-2014,289.6952515,304.505712,278.8916805,284.2843402,42126840
19-05-2014,279.848999,291.5597024,273.5172895,291.5597024,51736680
26-05-2014,267.9832764,290.647994,262.5678239,279.9811761,85500936
02-06-2014,277.5471802,283.5869289,272.6442011,273.6146296,47598944
09-06-2014,294.5481262,304.7191446,275.0563876,277.819789,72993824
16-06-2014,306.526001,308.6331989,293.9011802,294.4557108,49412704
23-06-2014,297.9122009,305.8188846,292.8613623,304.9917146,37666952
30-06-2014,299.9963989,301.5721944,294.871617,297.5980588,31330600
07-07-2014,307.4549255,317.1915697,300.4262668,301.7571315,58541520
14-07-2014,300.5138855,309.2338623,294.4371567,306.3780398,26005928
21-07-2014,309.8162231,314.1415661,294.6498257,300.8328325,38905896
28-07-2014,308.8087769,313.7625688,306.9187567,309.1507328,30600344
04-08-2014,321.8726196,333.4900524,309.548192,310.0749915,53642344
11-08-2014,333.8781738,335.2783542,324.4003195,325.6942239,27249448
18-08-2014,332.81073,333.8273693,326.2487856,333.8273693,26294856
25-08-2014,332.6073914,337.3393803,329.2108921,332.6258712,23209656
01-09-2014,344.8025208,350.7406195,328.6102311,333.6472176,31791360
08-09-2014,339.1786194,350.324693,335.5464621,344.9827106,24835432
15-09-2014,342.1499329,350.0843263,334.8994513,338.7257026,41779616
22-09-2014,340.125885,343.8320061,332.3070187,340.1120308,60979256
29-09-2014,355.5742188,356.7433449,340.2137277,342.0529116,21394376
06-10-2014,359.3958435,361.1842135,330.1951949,355.5742175,98717024
13-10-2014,355.9762268,368.3006763,354.6315084,359.4559193,42794904
20-10-2014,354.3826599,359.7379122,345.5301905,358.8484701,39787848
27-10-2014,377.3125,378.6862388,350.6526535,358.5691145,43579464
03-11-2014,388.0555115,389.5829133,375.561463,379.7013008,28789888
10-11-2014,390.3885803,392.2326771,381.5827008,388.8425331,27432008
17-11-2014,386.1509705,394.1931722,382.0018319,389.7692677,31737624
24-11-2014,406.0539856,409.607071,390.4166533,391.1663707,65601112
01-12-2014,385.6341248,409.9982078,383.6782931,408.5825401,58529888
08-12-2014,361.1116638,376.0784257,356.706382,374.2157292,207034012
15-12-2014,372.2878723,374.0294891,353.2231766,354.834391,82855428
22-12-2014,363.6449585,376.6186454,356.715736,373.6569531,48270292
29-12-2014,374.9980774,376.0877731,363.2258438,364.3527843,23183120
05-01-2015,386.4071045,392.8427306,356.3431982,374.383411,85282504
12-01-2015,394.5750427,402.3424787,386.5095571,389.6761414,46514796
19-01-2015,412.5966492,414.4500233,390.1604761,394.8917076,38831880
26-01-2015,398.9709778,413.7049265,396.1862554,412.5966311,53077492
02-02-2015,415.4744873,418.6969616,391.5388354,398.8964871,38458176
09-02-2015,427.6937866,433.393611,409.793254,409.793254,32795812
16-02-2015,425.2722778,435.1259246,420.6248134,424.7507137,31503292
23-02-2015,422.0404663,434.9023949,418.2498607,428.4202019,31819988
02-03-2015,418.6596375,431.0092775,416.0052952,428.9789567,22006688
09-03-2015,413.5930786,420.7831047,402.3796557,420.7831047,32963796
16-03-2015,420.4944153,425.0673443,411.7583868,411.7583868,30586144
23-03-2015,410.1937256,423.7634889,397.1269267,419.6655563,43801260
30-03-2015,404.940918,423.511994,401.914036,410.83638,19377988
06-04-2015,416.1170044,416.8714054,398.2444436,405.881498,44174920
13-04-2015,405.9281616,418.1753919,401.1223952,416.8715043,26568248
20-04-2015,371.6452332,406.067877,368.8139433,405.3227983,89515268
27-04-2015,361.7823181,372.9119325,359.9289437,372.5393931,51639456
04-05-2015,364.706604,373.2284394,355.7749846,364.995331,45836176
11-05-2015,365.4145508,372.5393662,355.4025553,366.0199273,31592676
18-05-2015,381.1915283,384.0693854,365.3865526,366.9512222,39572376
25-05-2015,376.8514709,383.0728822,364.1571889,381.9459417,47069140
01-06-2015,374.7093506,384.4605623,373.4706529,378.6489583,29509080
08-06-2015,367.8919067,380.8748931,364.2503257,376.264719,39171016
